,rotten_tomatoes,tweet_eval/irony,tweet_eval/sentiment,tweet_eval/offensive,glue/cola,glue/sst2,tweet_eval/hate,tweet_eval/emotion,average
lr_node2vec+_all_normalize_without_transfer,0.7028762683276334,0.747856764305022,0.7696589262717536,0.8083085323115765,0.7683103942261064,0.6447705985599445,0.8144484659600724,0.7557920880848682,0.7467692398905091
lr_node2vec_all_normalize_without_transfer,0.7028762683276334,0.747856764305022,0.7696589262717536,0.7806741720680607,0.7683103942261064,0.6447705985599445,0.8093399908336345,0.7557920880848682,0.744547518228427
xgb_node2vec+_all_normalize_without_transfer,0.7214391295656736,0.6618097296345413,0.7246941220159014,0.7973978708741296,0.7704773193640613,0.7181494752846623,0.6646538759952105,0.6902633537178431,0.7078116257512357
xgb_node2vec_all_normalize_without_transfer,0.678357477032455,0.6980233729997968,0.6992411505313557,0.7817273211714255,0.729337608289066,0.7114641860966116,0.6652703008878382,0.659441385919305,0.6950632582397596
LogME,0.7642083189588498,0.6427657706352972,0.5985331590971684,0.8065978204570363,0.7796230181080763,0.5625820883195337,0.6775871222833483,0.723824767073628,0.6945745762760659
Reg-H-Score,0.7760946718780208,0.6013223915935062,0.608865233311571,0.8124143022803104,0.7866734914429662,0.5629995767117524,0.6667835100639345,0.7372912147349138,0.6909660636426899
xgb_homo_SAGEConv_all_normalize_without_transfer,0.7003319256158582,0.6986809652865921,0.733300736448541,0.7982753220415691,0.7543608136505222,0.6618765891364358,0.6738969083282975,0.5740014552165356,0.6848672021806878
xgb_homoGATConv_all_normalize_without_transfer,0.6881267327578681,0.6384895921782343,0.6914211621490112,0.5584815506963393,0.6254815485230074,0.7671767604147794,0.6598502722587581,0.5495985938563507,0.6407751326596839
rf_node2vec_all_normalize_without_transfer,0.6352056797126963,0.4754375421628333,0.5749778655429151,0.7743487314439724,0.6513123700496192,0.5354823254323612,0.5184609447525855,0.6372736728062965,0.5867747390312605
rf_node2vec+_all_normalize_without_transfer,0.6391784253503804,0.5001310007423583,0.5533137204362722,0.7148104569215324,0.5352783088940605,0.656451057348897,0.499299568171637,0.48392455348472907,0.5545107118744416
rf_homoGATConv_all_normalize_without_transfer,0.6473402964209288,0.4391321881410846,0.44385334784374575,0.7229838041698141,0.4567774162864587,0.6488268247945871,0.6706520369091014,0.5207031506918515,0.5473386248459565
rf_homo_SAGEConv_all_normalize_without_transfer,0.5802035721243582,0.5688863377210612,0.5558722668121269,0.6913646376332147,0.40390263780820945,0.6180521641947406,0.47262271403343936,0.5136926862173432,0.543748433989145
lr_homoGATConv_all_normalize_without_transfer,0.5733124707891586,0.3628780315474162,0.6190871357974838,0.7158230421350583,0.09286708210712999,0.5092410547246223,0.617028788559104,0.5736510113230967,0.4828619804459699
lr_homo_SAGEConv_all_normalize_without_transfer,0.32529963597943795,0.24605513588325567,0.5617761880435965,0.7350186186879002,0.36934920310978464,0.2675269258399818,0.5915916562012662,0.46376975590598457,0.40276999369296046
