,Unnamed: 0,score,model
0,183,1.879168161286238,nielsr/convnext-xlarge-224-22k-1k
1,66,1.8787038914518672,facebook/convnext-xlarge-224-22k-1k
2,60,1.830902943712976,facebook/convnext-large-224-22k-1k
3,55,1.7262782244585235,facebook/convnext-base-224-22k-1k
4,180,1.6974445312053803,microsoft/swin-large-patch4-window7-224
5,65,1.5923353518552743,facebook/convnext-xlarge-224-22k
6,181,1.5845651532131582,microsoft/swin-large-patch4-window7-224-in22k
7,182,1.5837410099808444,nielsr/convnext-xlarge-224-22k
8,59,1.5815972410458383,facebook/convnext-large-224-22k
9,176,1.5701766763623972,microsoft/swin-base-patch4-window7-224
10,54,1.5682202855946257,facebook/convnext-base-224-22k
11,56,1.53561796725531,facebook/convnext-base-384
12,58,1.5270339980318073,facebook/convnext-large-224
13,130,1.5186207528123272,microsoft/swin-base-patch4-window7-224-in22k
14,85,1.511056210521022,google/vit-large-patch16-224
15,53,1.4965000878969226,facebook/convnext-base-224
16,177,1.4896830546030588,microsoft/swin-base-patch4-window12-384-in22k
17,63,1.4572163182533378,facebook/convnext-small-224
18,129,1.436909242386886,microsoft/resnet-50
19,86,1.417963766430652,google/vit-large-patch32-384
20,64,1.4092487030568162,facebook/convnext-tiny-224
21,83,1.4085865393951038,google/vit-base-patch16-384
22,84,1.3931840138634808,google/vit-base-patch32-384
23,131,1.3876054707032417,microsoft/swin-small-patch4-window7-224
24,20,1.3836776728665443,IDEA-CCNL/Taiyi-vit-87M-D
25,135,1.382880141223248,mrm8488/convnext-tiny-finetuned-beans
26,82,1.3828396108652592,google/vit-base-patch16-224
27,118,1.3783024068978555,michaelbenayoun/vit-base-beans
28,111,1.3769283685688505,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10
29,109,1.376080993094057,karthiksv/vit-base-beans
30,34,1.3759161169435845,Visual-Attention-Network/van-large
31,110,1.3752314753414658,karthiksv/vit-base-patch16-224-cifar10
32,151,1.374147230035876,nateraw/rare-puppers-123
33,133,1.3649787485636218,mmekias/vit-base-beans
34,156,1.3624697216480188,nateraw/vit-base-beans
35,89,1.354644770532127,hafidber/rare-puppers
36,45,1.3533063325114605,black/simple_kitchen
37,146,1.3505763611149633,nateraw/pasta-pizza-ravioli
38,147,1.348530823098101,nateraw/pasta-shapes
39,145,1.347774349108213,nateraw/huggingpics-package-demo-2
40,15,1.3476886397499026,Frodnar/bee-likes
41,77,1.3473274588490425,firas-spanioli/beer-whisky-wine-detection
42,24,1.3431406151163836,Neto71/sea_mammals
43,33,1.3425583508964165,Visual-Attention-Network/van-base
44,30,1.3422550087227432,Suzana/new-york-tokyo-london
45,101,1.3419259579754084,jeffboudier/vision-transformers-spain-or-italy-fan
46,149,1.3401707885717338,nateraw/rare-puppers
47,108,1.3396283342549595,julien-c/hotdog-not-hotdog
48,104,1.3389000761426328,jmarshall/rare-puppers
49,95,1.3379547144369992,ipvikas/rare-puppers
50,153,1.337565611077401,nateraw/rare-puppers-new-auth
51,29,1.3365115067267717,SriramSridhar78/sriram-car-classifier
52,132,1.334865836085536,microsoft/swin-tiny-patch4-window7-224
53,119,1.3343812327058164,micole66/dwarf-goats
54,10,1.334306149770015,Amrrs/indian-foods
55,134,1.334149280250138,mmgyorke/vit-world-landmarks
56,47,1.3332832679968785,domluna/vit-base-patch16-224-in21k-shiba-inu-detector
57,107,1.3330030459053477,juanfiguera/ice_cream
58,49,1.3325205523706825,driboune/skin_type
59,138,1.3315904579161224,mrm8488/vit-base-patch16-224_finetuned-pneumothorax
60,154,1.3279026252595223,nateraw/trainer-rare-puppers
61,70,1.3235245273970562,facebook/deit-base-patch16-384
62,26,1.3234406585976743,Rajaram1996/FacialEmoRecog
63,18,1.3229864238954896,HHousen/household-rooms
64,76,1.3229340157900091,filipafcastro/beer_vs_wine
65,11,1.3227524837180389,Amrrs/south-indian-foods
66,144,1.3222433332819516,nateraw/ex-for-evan
67,141,1.3196969015373543,nateraw/denver-nyc-paris
68,48,1.3191860425044215,drab/Infrastructures
69,162,1.3186741146042666,nateraw/vit-base-patch16-224-cifar10
70,136,1.3179682241263566,mrm8488/convnext-tiny-finetuned-eurosat
71,19,1.317347618022043,Hijazzi/rare-puppers
72,103,1.3169395753370627,jjhoffstein/lotr
73,150,1.316607304045562,nateraw/rare-puppers-09-04-2021
74,91,1.316327866226814,hgarg/indian-snacks
75,2,1.3163063170140787,Ahmed9275/ALL-3
76,41,1.3147828259089651,ajanco/greens
