,stanfordcars,svhn,caltech101,pets,cifar100,flowers,smallnorb_label_elevation,dtd,average
lr_node2vec+_all_normalize_without_transfer,0.6072232205249256,0.2212586017741417,0.51113892775558,0.5881313970389839,0.324494796936984,0.3416028469519356,0.4757585858494004,0.5050538757957174,0.4981609925018187
lr_node2vec_all_normalize_without_transfer,0.6069605807236605,0.2212586017741417,0.51113892775558,0.5863105568004731,0.324494796936984,0.3416028469519356,0.4754869566253927,0.5045262666280018,0.49780647301731756
xgb_homo_SAGEConv_all_normalize_without_transfer,0.5499677438491325,0.0927656695439056,0.3830233187272523,0.5894319972093487,0.2502298549116258,0.4504135547099794,0.4502254387926811,0.5698552650160678,0.4793925325133643
xgb_node2vec_all_normalize_without_transfer,0.48798475075056735,0.5540806481099133,0.4746100970822139,0.5132168272259687,0.3523236387454956,0.40987110350205447,0.4287667300960768,0.5266858516720552,0.47713577524812645
xgb_homoGATConv_all_normalize_without_transfer,0.48588363234044657,0.12517525239091973,0.43358133799256343,0.5425153331775521,-0.03925174203132242,0.436812216240224,0.36900830081439356,0.49661212911226843,0.42420911855737425
xgb_node2vec+_all_normalize_without_transfer,0.373211157597716,0.1620072029878215,0.5116683310986723,0.603998719117435,0.15699667359896152,0.48807879970314844,0.4276802132000461,0.4762991761552195,0.4170727059558004
lr_homoGATConv_all_normalize_without_transfer,0.4551547755924291,0.17295002888979955,0.40711117083795034,0.43205937659520227,0.2817013892503106,0.2419468862408426,0.3703664469344318,0.44517023526000155,0.38672346393919876
rf_node2vec+_all_normalize_without_transfer,0.3293503107864432,0.29171972465517115,0.3989054190200203,0.45156837915067494,0.2118667484855551,0.4378584730455898,0.34564818754973564,0.3995320422526059,0.36499710071055536
rf_node2vec_all_normalize_without_transfer,0.39632346010904534,0.33949450115405094,0.2787308601380765,0.3683299682473247,0.08558681537334692,0.4300115470053462,0.4094810551915336,0.3095746791571033,0.35289391915261287
LogME,0.29081952092820307,0.06964749045121475,0.2687368784024529,0.12441750085843617,0.286394648484445,0.5297018428934854,0.05043841427068742,0.3962001180416437,0.30156657599380216
Reg-H-Score,0.28999332910738435,0.06745040873351082,0.263737122525198,0.10560792592550725,0.28520464301982823,0.5006439132261857,0.05277532921759186,0.3665602452297394,0.2901322153873286
rf_homo_SAGEConv_all_normalize_without_transfer,0.32638450800571206,0.37890939605527846,0.35980077899691926,0.23330467355920997,0.31051366702475447,0.050127524262795216,0.3733450299681855,0.2734139637426295,0.27712178012455174
lr_homo_SAGEConv_all_normalize_without_transfer,0.2852268241739054,0.0958164511904908,0.344112173009971,0.21043710756503228,0.2819639254937871,0.2746424114085241,0.3912818971830209,0.28583226660990324,0.2761397038827953
rf_homoGATConv_all_normalize_without_transfer,0.3122273514044557,0.020742522430107345,0.31171389050570436,0.3453819322704227,-0.003149926652370526,0.1307094994806336,0.41628403659794644,0.4058111468263437,0.2735179583813472
