,rotten_tomatoes,tweet_eval/irony,tweet_eval/sentiment,tweet_eval/offensive,glue/cola,glue/sst2,tweet_eval/hate,tweet_eval/emotion,average
lr_node2vec_all_normalize_without_transfer,0.6056970867762788,0.5278551354539968,0.5356402287942107,0.6484347268825768,0.5093623363052099,0.43515135408643546,0.6440379357211712,0.6594266859381126,0.5727815715937186
lr_node2vec+_all_normalize_without_transfer,0.6056970867762788,0.5278551354539968,0.5356402287942107,0.6484347268825768,0.5093623363052099,0.43515135408643546,0.6440379357211712,0.6594266859381126,0.5727815715937186
LogME,0.5863147799994378,0.482216157685929,0.4690282336989846,0.6311385823215276,0.6710013147213588,0.4294315490470349,0.5133131203034018,0.5771930321413901,0.5430832057594025
xgb_node2vec+_all_normalize_without_transfer,0.6662667954539067,0.38050615082756556,0.44645817891282574,0.6143050846510812,0.4684537059653204,0.4337020573201193,0.5489030802988017,0.6357533613602684,0.5235789808115289
Reg-H-Score,0.5951983372721565,0.41080617918956286,0.472319659900381,0.6311385823215276,0.6590280570609033,0.4258076541183679,0.49843447913518724,0.5254855074055721,0.5164208696150626
xgb_homoGATConv_all_normalize_without_transfer,0.638000931404347,0.4168279134534566,0.518793328363194,0.5943894871725276,0.3008280987189438,0.4952971698885573,0.36918403951030343,0.6332614324573372,0.5019087760896336
xgb_homo_SAGEConv_all_normalize_without_transfer,0.66788198768531,0.4483737764672872,0.4591403155047734,0.58344496432451,0.46645816302191107,0.3694747353454925,0.4122840834776308,0.5335842763400979,0.4984865695992585
xgb_node2vec_all_normalize_without_transfer,0.5208994946275998,0.3567146032560212,0.43706400365953113,0.6474859289128636,0.47044924890872963,0.48297814737486966,0.48810260878826506,0.6295235391029408,0.4959306800763691
rf_homoGATConv_all_normalize_without_transfer,0.6309602629826488,0.42170020570846817,0.3659471478092681,0.6335437838832041,0.2768637819212395,0.39082533189550495,0.3563455298349093,0.6000208098192893,0.4722697417121956
rf_node2vec+_all_normalize_without_transfer,0.49747920727225026,0.3877045797318033,0.46244538129619184,0.5829543575047542,0.3856386738138367,0.36051257062115183,0.4754270303567803,0.5205016495997101,0.4532504361499667
rf_node2vec_all_normalize_without_transfer,0.5580489159498782,0.2601618292799334,0.41147060561099363,0.6225956075009336,0.2798748978131467,0.4004403896176992,0.43737426678876457,0.38967538219583325,0.3977092227001199
rf_homo_SAGEConv_all_normalize_without_transfer,0.382282053867136,0.3681496322359359,0.34001465911125295,0.529467807668976,0.15625160767558474,0.3941824697236289,0.35875637154065493,0.3997496886621168,0.36315269341608797
lr_homoGATConv_all_normalize_without_transfer,0.4304487296690087,0.16606500204937938,0.37971514684797836,0.518789468084453,0.20903312332211849,0.4923985763559249,0.39207362878485846,0.3909213466472988,0.3464505566961132
lr_homo_SAGEConv_all_normalize_without_transfer,0.38764613553681837,0.19873872738096693,0.3087974137941197,0.6021626248678124,0.16413340709541044,0.4822534989917116,0.3986901506845345,0.4015120444847554,0.34362164958301655
