,Unnamed: 0,score,model
99,145,1.2277880910369414,nateraw/denver-nyc-paris
100,181,1.227788082543488,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10
101,104,1.2277870532965387,jmarshall/rare-puppers
102,107,1.2277829504860505,juanfiguera/ice_cream
103,161,1.2277781714386946,nateraw/vit-base-beans
104,97,1.2277775524327608,iyzg/computer-stuff
105,110,1.2277770174102098,karthiksv/vit-base-patch16-224-cifar10
106,155,1.2277751485240465,nateraw/rare-puppers-123
107,153,1.2277738103848768,nateraw/rare-puppers
108,119,1.2277718311056898,micole66/dwarf-goats
109,146,1.2277674670811347,nateraw/doggos-lol
110,157,1.2277671693135177,nateraw/rare-puppers-new-auth
111,89,1.2277666239915934,hafidber/rare-puppers
112,93,1.2277660399508346,ibombonato/vit-age-classifier
113,5,1.2277659807194348,AhmedSayeem/VIT_Basic
114,163,1.2277646214938371,nateraw/vit-base-beans-demo-v2
115,27,1.227764173466395,Sena/dog
116,25,1.2277633426462906,Nonem100/Test-Model
117,80,1.2277615782376423,gatecitypreservation/architectural_styles
118,99,1.227759814473746,jasmeen/dogs
119,91,1.2277586298493393,hgarg/indian-snacks
120,19,1.2277585668768811,Hijazzi/rare-puppers
121,137,1.2277570983390729,mmekias/vit-base-beans
122,154,1.2277532041036872,nateraw/rare-puppers-09-04-2021
123,32,1.2277509504079271,Symbermine/rare-puppers
124,95,1.227750550128048,ipvikas/rare-puppers
125,151,1.2277499811911468,nateraw/pasta-shapes
126,78,1.2277478849840524,firebolt/llama_or_what2
127,156,1.2277459975137863,nateraw/rare-puppers-demo
128,149,1.2277403038009351,nateraw/huggingpics-package-demo-2
129,76,1.2277402309751668,firas-spanioli/beer-whisky-wine-detection
130,73,1.2277398587162711,facebook/deit-tiny-patch16-224
131,47,1.2277396613456772,drab/Infrastructures
132,167,1.2277276047224177,nateraw/vit-base-patch16-224-cifar10
133,38,1.2277274314843705,Zayn/VIT_Basic
134,88,1.2277254533344584,hafidber/fruits
135,159,1.227723525387217,nateraw/trainer-rare-puppers
136,148,1.2277188946023196,nateraw/ex-for-evan
137,11,1.2277155872448438,Amrrs/south-indian-foods
138,30,1.2277145196417552,Suzana/new-york-tokyo-london
139,10,1.227713720326532,Amrrs/indian-foods
140,152,1.2277080350203744,nateraw/planes-trains-automobiles
141,90,1.2277046952770554,hgarg/fruits
142,39,1.2277018537383595,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10
143,138,1.2276990519925877,mmgyorke/vit-world-landmarks
144,79,1.2276954449285844,flyswot/test
145,164,1.2276878262744038,nateraw/vit-base-beans-demo-v3
146,17,1.2276868126349705,Giuliano/places
147,162,1.2276861098008385,nateraw/vit-base-beans-demo
148,26,1.2276856194385983,Rajaram1996/FacialEmoRecog
149,169,1.227672334327422,nickmuchi/vit-base-beans
150,18,1.2276638671226825,HHousen/household-rooms
151,171,1.2276458741457823,nickmuchi/vit-finetuned-cats-dogs
152,100,1.227614212258862,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector
153,29,1.227555343050211,SriramSridhar78/sriram-car-classifier
154,166,1.2275430390723274,nateraw/vit-base-food101
155,36,1.2274952275982778,WinKawaks/vit-small-patch16-224
156,114,1.227453444116809,matteopilotto/vit-base-patch16-224-in21k-snacks
157,124,1.227415464886865,microsoft/beit-large-patch16-224-pt22k-ft22k
158,123,1.227337891164414,microsoft/beit-large-patch16-224
159,121,1.2270821491054968,microsoft/beit-base-patch16-224-pt22k-ft22k
160,37,1.2270100580359276,WinKawaks/vit-tiny-patch16-224
161,120,1.2269937342313046,microsoft/beit-base-patch16-224
162,6,1.226989048499733,AkshatSurolia/BEiT-FaceMask-Finetuned
163,98,1.2269611802744642,jadohu/BEiT-finetuned
164,33,1.2266877638004678,Visual-Attention-Network/van-base
165,180,1.2259723332336685,nielsr/van-base-finetuned-eurosat-imgaug
166,34,1.225926302661734,Visual-Attention-Network/van-small
167,35,1.2252835686305603,Visual-Attention-Network/van-tiny
168,126,1.2240762336104851,microsoft/resnet-50
169,141,1.159382915011465,mrm8488/data2vec-base-finetuned-imagenet1k
