,contain_data_similarity,dataset_edge_distance_method,contain_dataset_feature,embed_dataset_feature,dataset_embed_method,dataset_reference_model,contain_model_feature,embed_model_feature,model_embed_method,complete_model_features,model_dataset_edge_method,distance_thres,top_pos_K,top_neg_K,accu_pos_thres,accu_neg_thres,gnn_method,accuracy_thres,finetune_ratio,model_ratio,hidden_channels,num_model,num_dataset,test_dataset,train_time,loss,val_AUC,test_AUC,time_total,epochs
0,,euclidean,True,,domain_similarity,EleutherAI_gpt-neo-125m,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,xgb_homoGATConv_all_normalize_without_transfer_model_ratio_0.1,,1.0,0.1,128,15.0,11.0,glue/sst2,0.8449540138244629,0.6391,0.7304555247768545,0.7710753159471109,2.60701322555542,50.0
1,,euclidean,True,,domain_similarity,EleutherAI_gpt-neo-125m,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,xgb_homoGATConv_all_normalize_without_transfer_model_ratio_0.3,,1.0,0.3,128,46.0,18.0,glue/sst2,2.8743209838867188,0.6204,0.7621793509070296,0.7525798079648526,5.915318965911865,50.0
2,,euclidean,True,,domain_similarity,EleutherAI_gpt-neo-125m,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,xgb_homoGATConv_all_normalize_without_transfer_model_ratio_0.5,,1.0,0.5,128,77.0,18.0,glue/sst2,4.70085597038269,0.6149,0.7869127258746635,0.7884334781072239,9.558791875839232,50.0
3,,euclidean,True,,domain_similarity,EleutherAI_gpt-neo-125m,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,xgb_homoGATConv_all_normalize_without_transfer_model_ratio_0.7,,1.0,0.7,128,109.0,21.0,glue/sst2,7.4692699909210205,0.6169,0.8275851772223716,0.8035063752276868,12.912502765655518,50.0
4,,euclidean,True,,domain_similarity,EleutherAI_gpt-neo-125m,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,xgb_homoGATConv_all_normalize_without_transfer_model_ratio_0.9,,1.0,0.9,128,139.0,21.0,glue/sst2,8.48011302947998,0.6056,0.7870543685577469,0.808906183672364,14.78672695159912,50.0
5,,euclidean,True,,domain_similarity,EleutherAI_gpt-neo-125m,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,xgb_homoGATConv_all_normalize_without_transfer_model_ratio_1.0,,1.0,1.0,128,164.0,23.0,glue/sst2,10.546236991882324,0.5956,0.8249157385558329,0.8175514548454396,18.81048703193665,50.0
6,,euclidean,True,,domain_similarity,EleutherAI_gpt-neo-125m,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,xgb_homo_SAGEConv_all_normalize_without_transfer_model_ratio_0.1,,1.0,0.1,128,15.0,11.0,glue/sst2,0.5563158988952637,0.6309,0.6846722068328717,0.6381583753378625,2.24639892578125,50.0
7,,euclidean,True,,domain_similarity,EleutherAI_gpt-neo-125m,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,xgb_homo_SAGEConv_all_normalize_without_transfer_model_ratio_0.3,,1.0,0.3,128,46.0,18.0,glue/sst2,1.9761080741882324,0.6315,0.7457571570294785,0.7840446074263039,4.697693109512329,50.0
8,,euclidean,True,,domain_similarity,EleutherAI_gpt-neo-125m,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,xgb_homo_SAGEConv_all_normalize_without_transfer_model_ratio_0.5,,1.0,0.5,128,77.0,18.0,glue/sst2,3.1999568939208984,0.6362,0.8250249903883122,0.7010656650289357,7.745609998703003,50.0
9,,euclidean,True,,domain_similarity,EleutherAI_gpt-neo-125m,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,xgb_homo_SAGEConv_all_normalize_without_transfer_model_ratio_0.7,,1.0,0.7,128,109.0,21.0,glue/sst2,5.272893190383911,0.6128,0.8132371823583863,0.8272081877631462,10.708154201507568,50.0
10,,euclidean,True,,domain_similarity,EleutherAI_gpt-neo-125m,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,xgb_homo_SAGEConv_all_normalize_without_transfer_model_ratio_0.9,,1.0,0.9,128,139.0,21.0,glue/sst2,6.49718713760376,0.5973,0.837607032708384,0.8194008295953676,12.646749258041382,50.0
11,,euclidean,True,,domain_similarity,EleutherAI_gpt-neo-125m,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,xgb_homo_SAGEConv_all_normalize_without_transfer_model_ratio_1.0,,1.0,1.0,128,164.0,23.0,glue/sst2,8.176952123641968,0.6582,0.7130684085131607,0.66911934841964,13.85487675666809,50.0
12,,euclidean,True,,domain_similarity,EleutherAI_gpt-neo-125m,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,xgb_node2vec_all_normalize_without_transfer_model_ratio_0.1,,1.0,0.1,128,,,glue/sst2,0.1318919658660888,3.4241321086883545,,,2.403920888900757,50.0
13,,euclidean,True,,domain_similarity,EleutherAI_gpt-neo-125m,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,xgb_node2vec_all_normalize_without_transfer_model_ratio_0.3,,1.0,0.3,128,,,glue/sst2,0.2693128585815429,3.7291605472564697,,,3.078845977783203,50.0
14,,euclidean,True,,domain_similarity,EleutherAI_gpt-neo-125m,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,xgb_node2vec_all_normalize_without_transfer_model_ratio_0.5,,1.0,0.5,128,,,glue/sst2,0.388376235961914,3.118719220161438,,,5.114273071289063,50.0
15,,euclidean,True,,domain_similarity,EleutherAI_gpt-neo-125m,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,xgb_node2vec_all_normalize_without_transfer_model_ratio_0.7,,1.0,0.7,128,,,glue/sst2,0.5898041725158691,4.150924444198608,,,6.20740818977356,50.0
16,,euclidean,True,,domain_similarity,EleutherAI_gpt-neo-125m,False,,,,LogMe,-1,0.5,0.5,0.5,0.5,xgb_node2vec_all_normalize_without_transfer_model_ratio_0.9,,1.0,0.9,128,,,glue/sst2,0.6605789661407471,3.1992739041646323,,,6.914118051528931,50.0
