,Unnamed: 0,model,score,runtime
93,141,nielsr/convnext-tiny-finetuned-eurostat,-2.1987221970698245,102.558
94,140,nielsr/convnext-tiny-finetuned-eurosat,-2.1987221970698245,100.749
95,129,nateraw/vit-base-beans-demo-v2,-2.198785636709297,147.313
96,18,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,-2.1998707558264354,102.167
97,2,AhmedSayeem/VIT_Basic,-2.201212802683305,142.071
98,14,Giuliano/places,-2.201335359495417,142.052
99,39,akahana/vit-base-cats-vs-dogs,-2.201605446625853,142.506
100,78,jadohu/BEiT-finetuned,-2.2017078453913377,149.744
101,97,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,-2.2027835064275942,104.488
102,11,Calin/convnext-tiny-finteuned-eurosat,-2.203089479730884,93.424
103,134,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,-2.203117453580043,105.972
104,143,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,-2.2035202219843177,101.313
105,40,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,-2.207090843957296,98.326
106,9,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,-2.215186194347849,97.429
107,67,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,-2.219811186182056,98.554
108,7,Amrrs/indian-foods,-2.223781011380084,141.903
109,95,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,-2.225215285172404,104.393
110,80,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,-2.2265012528683186,148.424
111,132,nateraw/vit-base-food101,-2.232242325904465,151.457
112,146,nielsr/vit-finetuned-eurosat-kornia,-2.240831160289233,147.372
113,13,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,-2.244975548765136,97.624
114,147,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,-2.258901246104228,142.81
115,133,nateraw/vit-base-patch16-224-cifar10,-2.268764277502488,150.744
116,131,nateraw/vit-base-cats-vs-dogs,-2.286534997700254,145.725
117,91,karthiksv/vit-base-patch16-224-in21k-finetuned-cifar10,-2.331104356283802,148.97
118,20,Matthijs/snacks-classifier,-2.436070374187002,99.061
119,48,eslamxm/vit-base-food101,-2.6503697729990625,142.835
