,Unnamed: 0,score,model
0,58,0.0358120221712169,facebook/convnext-large-224-22k
1,79,0.03141127407647,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations
2,59,0.0216569977989036,facebook/convnext-large-224-22k-1k
3,8,0.0104495872618236,AkshatSurolia/DeiT-FaceMask-Finetuned
4,55,0.0100346079970712,facebook/convnext-base-384
5,52,0.0043330761651539,facebook/convnext-base-224
6,54,0.0019982942526183,facebook/convnext-base-224-22k-1k
7,7,0.0007417125589345,AkshatSurolia/ConvNeXt-FaceMask-Finetuned
8,57,-0.0008729673358499,facebook/convnext-large-224
9,53,-0.002402386206995,facebook/convnext-base-224-22k
10,68,-0.0024890832619024,facebook/convnext-tiny-224
11,76,-0.0054509898808062,mrm8488/convnext-tiny-finetuned-beans
12,67,-0.0054671815138905,facebook/convnext-small-224
13,3,-0.0191531066465867,Ahmed9275/ALL-test
14,2,-0.0206672815008443,Ahmed9275/ALL-3
15,35,-0.0213930827465514,Visual-Attention-Network/van-small
16,77,-0.021412754905237,mrm8488/convnext-tiny-finetuned-eurosat
17,75,-0.0232578573069375,microsoft/swin-tiny-patch4-window7-224
18,31,-0.0268701344475987,SyedMujtabaHassanRizvi/convnext-tiny-finetuned-eurosat
19,33,-0.0365806563095024,Visual-Attention-Network/van-base
20,34,-0.0371671096816111,Visual-Attention-Network/van-large
21,81,-0.0379951179803536,nielsr/convnext-tiny-finetuned-eurostat
22,80,-0.0379951179803536,nielsr/convnext-tiny-finetuned-eurosat
23,117,-0.0389629719789423,microsoft/swin-base-patch4-window7-224-in22k
24,88,-0.040084082961468,mrm8488/data2vec-base-finetuned-imagenet1k
25,23,-0.0435491904750586,Matthijs/snacks-classifier
26,69,-0.0464014413886345,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat
27,84,-0.0470724453405708,nielsr/van-base-finetuned-eurosat-imgaug
28,74,-0.0474279562535303,microsoft/swin-small-patch4-window7-224
29,112,-0.0501387011874161,microsoft/swin-base-patch4-window7-224
30,21,-0.0506557110146263,KL/swin-tiny-patch4-window7-224-finetuned-eurosat
31,83,-0.0519906327619432,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat
32,14,-0.055059882636547,Calin/convnext-tiny-finteuned-eurosat
33,36,-0.0552821891456418,Visual-Attention-Network/van-tiny
34,70,-0.0583114001971213,ibombonato/swin-age-classifier
35,71,-0.0596214726490551,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat
36,12,-0.0611744181567455,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat
37,106,-0.0651945485767728,nateraw/vit-base-patch16-224-cifar10
38,42,-0.0653017818710361,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat
39,16,-0.0653677160031934,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat
40,82,-0.0676470109164237,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10
41,73,-0.067816140447476,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat
42,78,-0.0689958062389996,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat
43,89,-0.0705236477430617,nateraw/vit-age-classifier
44,60,-0.0715474256051228,facebook/deit-small-distilled-patch16-224
45,72,-0.0715568989700257,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat
46,39,-0.0802128689160425,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10
47,13,-0.0852179541757902,AykeeSalazar/vc-bantai-vit-withoutAMBI
48,90,-0.0869494372775891,nielsr/vit-finetuned-eurosat-kornia
49,86,-0.0869777766859481,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10
50,22,-0.089843457821936,LorenzoDeMattei/lawn-weeds
51,41,-0.0911249362224256,akahana/vit-base-cats-vs-dogs
52,9,-0.0912048449553716,AkshatSurolia/ViT-FaceMask-Finetuned
53,20,-0.0915401013694378,IDEA-CCNL/Taiyi-vit-87M-D
54,61,-0.0918847780401229,facebook/deit-small-patch16-224
55,121,-0.0940171047691359,mmgyorke/vit-world-landmarks
56,116,-0.0940851993675709,nateraw/rare-puppers
57,87,-0.0944669858153216,microsoft/beit-base-patch16-224
58,44,-0.0945608803718255,black/simple_kitchen
59,92,-0.094681324551787,microsoft/beit-base-patch16-224-pt22k-ft22k
60,97,-0.0948716360338537,nateraw/vit-base-beans-demo-v2
61,30,-0.0951502052980364,Suzana/new-york-tokyo-london
62,47,-0.0952402128701227,drab/Infrastructures
63,29,-0.095272049534047,SriramSridhar78/sriram-car-classifier
64,11,-0.0957168169637733,Amrrs/south-indian-foods
65,94,-0.0960931548819412,nateraw/baked-goods
66,25,-0.0962242661827803,Nonem100/Test-Model
67,111,-0.0962271165679561,nateraw/pasta-shapes
68,10,-0.0963553019569179,Amrrs/indian-foods
69,107,-0.0965669531734947,nateraw/huggingpics-package-demo-2
70,108,-0.0967443623331596,nickmuchi/vit-base-beans
71,46,-0.096838941935949,domluna/vit-base-patch16-224-in21k-shiba-inu-detector
72,96,-0.0973767715307584,nateraw/baseball-stadium-foods
73,119,-0.0974172279556151,mmekias/vit-base-beans
74,118,-0.0976231636749404,nateraw/rare-puppers-09-04-2021
75,5,-0.0979228088188484,AhmedSayeem/VIT_Basic
76,120,-0.0984729547080461,nateraw/rare-puppers-123
77,93,-0.0986929406239864,nateraw/vit-base-beans
78,100,-0.0988806042130028,nateraw/vit-base-beans-demo-v3
79,109,-0.0989121407743467,nateraw/pasta-pizza-ravioli
80,51,-0.0990043720566407,eslamxm/vit-base-food101
81,91,-0.09900612895028,mrm8488/vit-base-patch16-224_finetuned-pneumothorax
82,19,-0.0990619126248312,Hijazzi/rare-puppers
83,15,-0.0992662819437363,Frodnar/bee-likes
84,98,-0.0992701615941331,nateraw/denver-nyc-paris
85,113,-0.0993884274723756,nickmuchi/vit-finetuned-cats-dogs
86,40,-0.0995733945124398,ajanco/greens
87,105,-0.0996515572478066,nateraw/ex-for-evan
88,103,-0.0997203140208932,nateraw/donut-or-bagel
89,37,-0.0998020101539858,WinKawaks/vit-small-patch16-224
90,85,-0.0998748722267473,nateraw/trainer-rare-puppers
91,24,-0.1001636798554591,Neto71/sea_mammals
92,43,-0.1004337594120336,b25mayank3/shirt_identifier
93,27,-0.1004841831549438,Sena/dog
94,32,-0.1004994932609393,Symbermine/rare-puppers
95,18,-0.1006738766227551,HHousen/household-rooms
96,48,-0.1012044595763182,driboune/skin_type
97,26,-0.101484631141262,Rajaram1996/FacialEmoRecog
98,123,-0.1015002941019706,nateraw/rare-puppers-new-auth
99,0,-0.1022499081162025,Aftabhussain/Tomato_Leaf_Classifier
100,49,-0.1025378649913347,edixo/road_good_damaged_condition
101,102,-0.1026686455416681,nateraw/vit-base-cats-vs-dogs
102,28,-0.1027864558669267,Sena/flowers
103,62,-0.1030656785465016,facebook/deit-tiny-distilled-patch16-224
104,17,-0.1031388444200026,Giuliano/places
105,122,-0.1032178872113934,nateraw/rare-puppers-demo
106,101,-0.1038272051357215,nateraw/doggos-lol
107,115,-0.1055707946211987,nickmuchi/vit-finetuned-chest-xray-pneumonia
108,110,-0.1067135802291577,nickmuchi/vit-base-xray-pneumonia
109,50,-0.1074477568549038,eren23/pneumonia_test_attempt
110,114,-0.1081634405161983,nateraw/planes-trains-automobiles
111,104,-0.1095707358790866,nateraw/vit-base-food101
112,95,-0.1126560847341551,nateraw/vit-base-beans-demo
113,64,-0.1166788146429275,flyswot/test
114,63,-0.1174856944387248,facebook/deit-tiny-patch16-224
115,6,-0.1231554984784493,AkshatSurolia/BEiT-FaceMask-Finetuned
116,38,-0.1290109661999628,WinKawaks/vit-tiny-patch16-224
