,stanfordcars,svhn,caltech101,pets,cifar100,flowers,smallnorb_label_elevation,dtd,average
xgb_node2vec_all_normalize_without_transfer,0.43702703668026294,0.2649350732376675,0.4763441935925351,0.5734107348474385,0.24260755458679337,0.5748737974592495,0.3762775379363764,0.5078815636084558,0.4316696864935974
xgb_homoGATConv_all_normalize_without_transfer,0.4108258522144101,0.23042567875859493,0.4792607160077163,0.5802381872908822,0.20875002710426785,0.5638057839530536,0.3833345984611678,0.5707109692371807,0.4284189766284092
xgb_node2vec+_all_normalize_without_transfer,0.4555089050323915,-0.02816542768885883,0.4205498517368941,0.5530289866830854,0.3831322271693928,0.5167877235302849,0.4258068060141211,0.5163515237233945,0.4053750745250882
xgb_homo_SAGEConv_all_normalize_without_transfer,0.33607923958439745,0.4452452541499054,0.5365004335486574,0.4232725405010698,-0.00038577789392342185,0.5487297097070084,0.3656855419783839,0.5471739804871537,0.4002876152578316
lr_node2vec_all_normalize_without_transfer,0.30966559014484685,0.11613416074447272,0.41814055061130956,0.4009887410595567,0.30072022796953346,0.3108114482163902,0.32226955944734637,0.328368976097813,0.3133874067864086
rf_node2vec_all_normalize_without_transfer,0.2764736633083712,0.11227588297887561,0.42612928592245813,0.38339207649530144,0.2912062062210318,0.3719546839310899,0.3014567287125494,0.314589488746644,0.30968475203954016
LogME,0.23103240167256192,0.5313361167891182,0.3832647887506173,0.18199602719235283,0.47156138611615644,0.1857270447698526,0.1759423729943788,0.31079214617890816,0.30895653555799335
lr_homoGATConv_all_normalize_without_transfer,0.3076539582153635,0.13658303290213736,0.38390311356352985,0.3554146457852266,0.31666264279134715,0.20584889357282238,0.38681568008057743,0.33620684963701014,0.30363610206850183
rf_node2vec+_all_normalize_without_transfer,0.3403429770694683,0.2633917621314287,0.35499150005651586,0.288952423510162,0.19902304954973826,0.3998512852259216,0.34044785464609306,0.21509906172490045,0.30026248923927856
lr_node2vec+_all_normalize_without_transfer,0.35128122568603415,0.0855251571374024,0.32633349719430027,0.37604958336777045,0.23026503988603442,0.2681385649571727,0.3500639093526765,0.3211631891343577,0.2886025208394686
lr_homo_SAGEConv_all_normalize_without_transfer,0.2696844055463648,0.06481906646203128,0.3344490378278481,0.2913577229829738,0.3639756158109232,0.36138199942208976,0.26654913285988363,0.3451824790125423,0.28717493249058207
rf_homoGATConv_all_normalize_without_transfer,0.2933969460847654,0.1986968101517511,0.3573188063401125,0.26175355987267207,0.2742648674531215,0.21948186394893823,0.29257181608084354,0.35251817811099573,0.2812503560054
rf_homo_SAGEConv_all_normalize_without_transfer,0.3116523603029444,-0.03921917690530361,0.3201562289284747,0.25458146303580215,0.20962230303724755,0.04573500503258905,0.3099143538428708,0.27037990781894905,0.21035280563669675
random,0.038605230386052306,-0.1139272750429854,0.07447280096257362,0.09595353828672432,-0.059063136456211814,-0.012529565940037077,-0.05001305823974928,0.02165837688094189,-0.0006053861453364298
