,stanfordcars,svhn,caltech101,pets,cifar100,flowers,smallnorb_label_elevation,dtd,average
xgb_node2vec_all_normalize_without_transfer,0.6799100684833859,0.6348673253877322,0.6348005040279059,0.7172240324456365,0.3782783573564251,0.6834811512936199,0.6165974746177063,0.6665790369841647,0.6264672438245721
xgb_homo_SAGEConv_all_normalize_without_transfer,0.6020453826491879,0.7139006486513217,0.7598405437485503,0.6625611332772829,0.17049000255581176,0.6899986346466482,0.5836874404985428,0.6904083214431587,0.609116513433813
xgb_homoGATConv_all_normalize_without_transfer,0.6839472868685236,0.5946997433724175,0.6248569782777529,0.6838048779176772,0.26843800148620156,0.6410874450658285,0.6294520235328807,0.7039338870329632,0.6037775304442807
xgb_node2vec+_all_normalize_without_transfer,0.6782203580283868,0.33456883668081105,0.5712874913575348,0.7332297487452716,0.4709800546570204,0.6626402912108016,0.7044073122245793,0.5743651679830668,0.5912124076109341
rf_node2vec+_all_normalize_without_transfer,0.6621815268952368,0.5385837910169606,0.6337266248213287,0.5650473720298346,0.42537197620916944,0.5386180867020396,0.6139145903465251,0.48359015765169855,0.5576292657090992
rf_node2vec_all_normalize_without_transfer,0.5396447942794009,0.4634622384384338,0.6471859194242675,0.5470151843676633,0.37483918694413465,0.5766402255882928,0.6471520506513082,0.6024579604871587,0.5497996950225824
LogME,0.5621547814219412,0.7257774955269303,0.6702828245252499,0.44432730428909895,0.627643030957115,0.41230709669712085,0.10466711851115379,0.5653715954061185,0.514066405916841
lr_homoGATConv_all_normalize_without_transfer,0.35940406282405457,0.5284001793540771,0.5906369161099121,0.5227705990786355,0.43088565222066366,0.4461812555185801,0.6226304038180432,0.5340008122787576,0.5043637351503405
rf_homoGATConv_all_normalize_without_transfer,0.44655960002718476,0.575676153916195,0.5245720310048997,0.5909780240779958,0.3041853957141739,0.4524073842595144,0.583056161530457,0.5299942441839147,0.5009286243392919
lr_node2vec+_all_normalize_without_transfer,0.4856063126021294,0.46652587857293004,0.548683844220134,0.4965360377167374,0.30181147566710453,0.4491925891910316,0.5769976247206325,0.4403340934671659,0.47071098201973316
lr_homo_SAGEConv_all_normalize_without_transfer,0.5224270139381111,0.4584554596209899,0.5388554264286358,0.4598669198027229,0.3980839120846088,0.4406087065053929,0.31911832238291227,0.5861801524889275,0.46544948915653767
lr_node2vec_all_normalize_without_transfer,0.23386186163188424,0.4405626233275677,0.5545827424537672,0.5347239807434108,0.2310312247995694,0.3494582846962526,0.4593926133844701,0.5308675782498171,0.4168101136608424
rf_homo_SAGEConv_all_normalize_without_transfer,0.41459676684377145,0.09889168163652698,0.3895364633212619,0.5730435175753498,0.17703223069406185,0.21705971066676066,0.6341590528622877,0.5478266559011915,0.38151825993765154
random,-0.011163611821359587,-0.3205817954767185,0.004972065769630184,0.10558947522919132,-0.23723037573399475,0.15721257977922704,-0.13736438685465208,0.27038237831242307,-0.02102295884953167
