,rotten_tomatoes,tweet_eval/irony,tweet_eval/sentiment,tweet_eval/offensive,glue/cola,glue/sst2,tweet_eval/hate,tweet_eval/emotion,average
xgb_node2vec+_normalize,0.9443081630061019,0.8084228829184265,0.8717473137944726,0.8866521108855485,0.7142000531601902,0.906654607887947,0.8853343269136468,0.7350553311403134,0.8440468487133308
xgb_node2vec+_all_normalize,0.9552254559173022,0.8155273346563522,0.9172953428729151,0.8806648976181848,0.6747406193780239,0.854430167017618,0.9076312426043679,0.7180293682339994,0.8404430535373454
xgb_node2vec_all_normalize,0.8363001326658039,0.8367980124806851,0.8876966543652607,0.8701641842929172,0.6878942826211754,0.8883129529841867,0.8463663669787708,0.7645572208907107,0.8272612259099389
lr_node2vec_normalize,0.8930216303270401,0.784209984152044,0.8728208205147783,0.8682529921678773,0.6511512662836626,0.8865595747335746,0.8680747740211038,0.7834560264150305,0.8259433835768889
lr_node2vec_all_normalize,0.8931801501103129,0.7872130171734686,0.873648242051893,0.8679321307827619,0.6490143596418806,0.8763210093024467,0.8689533408868515,0.7759197771028982,0.8240227533815643
lr_node2vec+_normalize,0.9013289741997852,0.7895467516720069,0.8641949602795955,0.8786765607595732,0.6494512047033385,0.84563384950619,0.8393644022859383,0.7593393070431723,0.8159420013062001
lr_node2vec+_all_normalize,0.9048478421146288,0.7945110724067604,0.8625478903159691,0.8802831937737317,0.6485374503504954,0.8305449277246336,0.8398453542364427,0.7581940943918435,0.8149139781643131
xgb_node2vec_normalize,0.8257478442509534,0.823399921700099,0.8276942344342568,0.8616090500770794,0.6982966382807766,0.8419394858679428,0.8207286892346172,0.7791813724743512,0.8098246545400094
xgb_data_distance_normalize,0.7637878092937416,0.7227228011624709,0.9298554042826603,0.8441937310259555,0.6809656624178558,0.8724341429797628,0.85932280049559,0.700428346491289,0.7967138372686657
xgb_logme_data_distance_normalize,0.8052779480121411,0.7835858015016646,0.918224948221481,0.890137651022694,0.4486137556940047,0.8560038216172865,0.8385548902439965,0.6760630537395054,0.7770577337565968
xgb_homoGATConv_all_normalize,0.8928240549011481,0.7157994884639742,0.8750324743925185,0.7194879966169576,0.7082507616122531,0.6888541825310837,0.8453258194520866,0.6516091042275368,0.7621479852746947
xgb_normalize,0.7024381327096072,0.7059993719952058,0.9128082628950336,0.7741386843538368,0.6800680695563944,0.8147773608708506,0.7753570149820652,0.7204821679303499,0.7607586331616679
rf_logme_data_distance_normalize,0.7885463300439175,0.6887336860648072,0.8837906069566923,0.8264010751142669,0.36831335403876536,0.8308711345073095,0.8521362251904113,0.7827800619842639,0.7526965592375542
xgb_homoGATConv_normalize,0.8811693846163187,0.7119790515420424,0.8180466679174391,0.6883920413456377,0.7130928110514145,0.652294432654177,0.8377210940713008,0.6745199226700167,0.7471519257335435
xgb_homo_SAGEConv_normalize,0.834213722456081,0.6886227936529343,0.8768567512201255,0.7734336025107713,0.6114212609253218,0.6139061175022629,0.8251049758752216,0.6624957982017807,0.7357568777930624
rf_node2vec_normalize,0.6862496097952185,0.6714745924760037,0.882223526961524,0.8291198940865012,0.49341380952456665,0.8310773690085445,0.8149448046676913,0.579507222847176,0.7235013536709032
rf_node2vec+_all_normalize,0.7510665161135454,0.6590744588093639,0.8709735342685513,0.858776174161944,0.44431634651425134,0.8343167858349962,0.7600732282226265,0.60651599978273,0.7231391304635011
xgb_homo_SAGEConv_all_normalize,0.788603824022308,0.704116406829485,0.7533154305429005,0.8087199892544223,0.6196662890942667,0.5822606645795787,0.8020995531776073,0.70059161535254,0.7199217216066385
rf_node2vec+_normalize,0.6712517119655349,0.6847894848232711,0.8619057063513557,0.8573134229439978,0.4465332928695957,0.8652131331295954,0.7803396060474279,0.5768366587435677,0.7180228771092932
rf_node2vec_all_normalize,0.6996340847588582,0.6759287483192289,0.8725033821454365,0.7842260189569428,0.45160034739393884,0.8252131533128576,0.7958675939992341,0.5839851308349254,0.7111198074651778
xgb_homoGCNConv_normalize,0.7646219015632438,0.674227987022678,0.8549073437840181,0.7485962460229918,0.7147240089843941,0.5753770357601385,0.7334268953525074,0.6211077425817089,0.7108736451339601
xgb_homoGCNConv_all_normalize,0.8014482393827819,0.6599142681732711,0.8720008172070026,0.7696080764520982,0.5652523157804002,0.602591403370689,0.7550530323793345,0.6247643819079719,0.7063290668316936
lr_logme_data_distance_normalize,0.8326296874089175,0.6806061964996896,0.7628281485099789,0.7557219049811535,0.28707781978403085,0.7382255980264483,0.834826454053653,0.41038989707547324,0.662788213292418
LogME,0.8334989956925793,0.6916354571793643,0.7573713359402535,0.7585054281327955,0.2878342144530307,0.7274663480001567,0.8379317220684199,0.3997215640089956,0.6617456331844493
rf_homoGATConv_normalize,0.7547154608230072,0.49685318447376436,0.6741725388320637,0.5711213367293358,0.3172681559393087,0.33524831484599127,0.6079283600359885,0.5004962517020615,0.5322254504226901
rf_normalize,0.5632217899139556,0.3970312480214566,0.5315549800940836,0.5271239031420778,0.45586611460602805,0.6062954937985804,0.5252435050379696,0.606474483589064,0.5266014397754021
rf_homoGATConv_all_normalize,0.7437698756536842,0.49480581017581593,0.698467757768423,0.529376217538735,0.32821415566867956,0.32198545901816167,0.5867667003386178,0.4987415219777409,0.5252659372674824
rf_data_distance_normalize,0.5109662247925557,0.41850163223153425,0.4891290698041547,0.46346209803364025,0.3643720060978824,0.6482606429712017,0.5208644884836855,0.5541528143689015,0.4962136220979445
