,model,target_dataset,model_name,dataset_name,task_type,metric,batch_size,dataset_path,runtime,score
0,aviator-neural/bert-base-uncased-sst2,rotten_tomatoes,aviator-neural/bert-base-uncased-sst2,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,10.122926473617554,-0.1574748992655466
1,moshew/bert-mini-sst2-distilled,rotten_tomatoes,moshew/bert-mini-sst2-distilled,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,2.8497416973114014,-0.2307456660374732
2,anvay/finetuning-cardiffnlp-sentiment-model,rotten_tomatoes,anvay/finetuning-cardiffnlp-sentiment-model,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,8.986902236938477,-0.2801987509785002
3,Alassea/glue_sst_classifier,rotten_tomatoes,Alassea/glue_sst_classifier,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,10.564343452453612,-0.294315815891062
4,ncduy/roberta-imdb-sentiment-analysis,rotten_tomatoes,ncduy/roberta-imdb-sentiment-analysis,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,10.0234375,-0.298403274574964
5,crcb/isear_bert,rotten_tomatoes,crcb/isear_bert,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,8.757459878921509,-0.3342964716728893
6,juliensimon/autonlp-imdb-demo-hf-16622767,rotten_tomatoes,juliensimon/autonlp-imdb-demo-hf-16622767,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,6.111879587173462,-0.3406401407184415
7,fabriceyhc/bert-base-uncased-imdb,rotten_tomatoes,fabriceyhc/bert-base-uncased-imdb,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,10.269836187362673,-0.3536006438479914
8,boychaboy/MNLI_roberta-base,rotten_tomatoes,boychaboy/MNLI_roberta-base,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,15.9568293094635,-0.3576206080275218
9,roberta-large,rotten_tomatoes,roberta-large,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,25.44533753395081,-0.3729126495914889
10,bert-large-uncased,rotten_tomatoes,bert-large-uncased,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,26.461329460144043,-0.3740522697677358
11,yukta10/finetuning-sentiment-model-3000-samples,rotten_tomatoes,yukta10/finetuning-sentiment-model-3000-samples,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,6.115475654602051,-0.3810854508049229
12,Anthos23/FS-distilroberta-fine-tuned,rotten_tomatoes,Anthos23/FS-distilroberta-fine-tuned,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,5.734936475753784,-0.382400528003206
13,PrasunMishra/finetuning-sentiment-model-3000-samples,rotten_tomatoes,PrasunMishra/finetuning-sentiment-model-3000-samples,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,5.922232389450073,-0.3850139332439138
14,joebobby/finetuning-sentiment-model-5000-samples3,rotten_tomatoes,joebobby/finetuning-sentiment-model-5000-samples3,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,9.104374647140505,-0.3855742652861095
15,markt23917/finetuning-sentiment-model-3000-samples,rotten_tomatoes,markt23917/finetuning-sentiment-model-3000-samples,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,5.016510248184204,-0.391681447516396
16,heranm/finetuning-sentiment-model-3000-samples,rotten_tomatoes,heranm/finetuning-sentiment-model-3000-samples,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,5.3338470458984375,-0.3939946520934657
17,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,rotten_tomatoes,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,5.781772613525391,-0.404530455830257
18,connectivity/feather_berts_28,rotten_tomatoes,connectivity/feather_berts_28,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,9.042222499847412,-0.4145587262906837
19,Jeevesh8/feather_berts_96,rotten_tomatoes,Jeevesh8/feather_berts_96,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,10.244260311126707,-0.4152053186277651
20,vinai/bertweet-covid19-base-uncased,rotten_tomatoes,vinai/bertweet-covid19-base-uncased,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,8.38447093963623,-0.4154187019316147
21,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,rotten_tomatoes,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,8.657889366149902,-0.4174705259561083
22,aXhyra/presentation_sentiment_1234567,rotten_tomatoes,aXhyra/presentation_sentiment_1234567,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,8.125347137451172,-0.417841077671122
23,aXhyra/demo_sentiment_31415,rotten_tomatoes,aXhyra/demo_sentiment_31415,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,6.178250312805176,-0.4182984355748969
24,Jeevesh8/lecun_feather_berts-7,rotten_tomatoes,Jeevesh8/lecun_feather_berts-7,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,9.013744592666626,-0.4183719980263926
25,vinai/bertweet-covid19-base-cased,rotten_tomatoes,vinai/bertweet-covid19-base-cased,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,9.559287309646606,-0.4190431653227712
26,vinai/bertweet-base,rotten_tomatoes,vinai/bertweet-base,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,8.296528816223145,-0.4191234446699103
27,ishan/bert-base-uncased-mnli,rotten_tomatoes,ishan/bert-base-uncased-mnli,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,10.42300534248352,-0.4192016139051587
28,Jeevesh8/lecun_feather_berts-3,rotten_tomatoes,Jeevesh8/lecun_feather_berts-3,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,8.70618462562561,-0.4194928754554402
29,Jeevesh8/feather_berts_92,rotten_tomatoes,Jeevesh8/feather_berts_92,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,8.839259386062622,-0.4207795437147115
30,Jeevesh8/lecun_feather_berts-8,rotten_tomatoes,Jeevesh8/lecun_feather_berts-8,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,9.05836534500122,-0.4216964217921238
31,Jeevesh8/lecun_feather_berts-51,rotten_tomatoes,Jeevesh8/lecun_feather_berts-51,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,9.002185583114624,-0.4244277112029493
32,roberta-base,rotten_tomatoes,roberta-base,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,10.11254620552063,-0.4271655081299899
33,cardiffnlp/twitter-roberta-base-2021-124m,rotten_tomatoes,cardiffnlp/twitter-roberta-base-2021-124m,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,8.638532876968384,-0.427448299761946
34,anirudh21/bert-base-uncased-finetuned-qnli,rotten_tomatoes,anirudh21/bert-base-uncased-finetuned-qnli,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,10.199412822723389,-0.4306706288785892
35,bert-base-uncased,rotten_tomatoes,bert-base-uncased,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,9.900196552276611,-0.4313133125610982
36,Jeevesh8/feather_berts_46,rotten_tomatoes,Jeevesh8/feather_berts_46,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,10.3326735496521,-0.4363511998856271
37,Capreolus/bert-base-msmarco,rotten_tomatoes,Capreolus/bert-base-msmarco,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,8.887813091278076,-0.4377648979704804
38,DoyyingFace/bert-asian-hate-tweets-asian-unclean-freeze-4,rotten_tomatoes,DoyyingFace/bert-asian-hate-tweets-asian-unclean-freeze-4,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,8.671476364135742,-0.4389887367840569
39,dapang/distilroberta-base-mic-sym,rotten_tomatoes,dapang/distilroberta-base-mic-sym,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,5.9544761180877686,-0.4396344709171402
40,connectivity/cola_6ep_ft-22,rotten_tomatoes,connectivity/cola_6ep_ft-22,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,10.098731756210327,-0.440390288255952
41,Jeevesh8/bert_ft_cola-60,rotten_tomatoes,Jeevesh8/bert_ft_cola-60,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,9.906466960906982,-0.4405345806062268
42,Jeevesh8/6ep_bert_ft_cola-12,rotten_tomatoes,Jeevesh8/6ep_bert_ft_cola-12,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,16.039804458618164,-0.4422128144060385
43,connectivity/cola_6ep_ft-10,rotten_tomatoes,connectivity/cola_6ep_ft-10,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,8.873674154281616,-0.4432960700879544
44,18811449050/bert_finetuning_test,rotten_tomatoes,18811449050/bert_finetuning_test,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,rotten_tomatoes,16.086787462234497,-0.4445691693391689
