,model_name,dataset_path,dataset_name,task_type,batch_size,metric,model,target_dataset,runtime,score
1,AykeeSalazar/vc-bantai-vit-withoutAMBI,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,AykeeSalazar/vc-bantai-vit-withoutAMBI,pets,15.251017808914185,23.56181134447489
0,Frodnar/bee-likes,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,Frodnar/bee-likes,pets,15.493848323822021,0.8494160838996875
1,Frodnar/bee-likes,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,Frodnar/bee-likes,pets,15.774891376495361,26.74033775874169
0,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,pets,18.393420219421387,0.8842878172613432
1,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,pets,18.606931924819946,27.8766953419078
0,Giuliano/places,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,Giuliano/places,pets,15.710402011871338,0.7678338205251134
1,Giuliano/places,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,Giuliano/places,pets,15.97707223892212,25.200862318022253
0,HHousen/household-rooms,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,HHousen/household-rooms,pets,15.171941995620728,0.8214601969184444
1,HHousen/household-rooms,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,HHousen/household-rooms,pets,15.297658443450928,26.089584531425484
0,Hijazzi/rare-puppers,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,Hijazzi/rare-puppers,pets,15.42697262763977,0.7984086966939463
1,Hijazzi/rare-puppers,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,Hijazzi/rare-puppers,pets,15.707711458206177,25.87501181046896
0,IDEA-CCNL/Taiyi-vit-87M-D,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,IDEA-CCNL/Taiyi-vit-87M-D,pets,15.213823556900024,0.9341425579810813
1,IDEA-CCNL/Taiyi-vit-87M-D,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,IDEA-CCNL/Taiyi-vit-87M-D,pets,15.294867515563965,27.905931306984584
0,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,pets,18.838200330734253,0.8777277986595751
1,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,pets,19.08073616027832,27.74624640922326
0,LorenzoDeMattei/lawn-weeds,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,LorenzoDeMattei/lawn-weeds,pets,15.033621311187744,0.7929908493300513
1,LorenzoDeMattei/lawn-weeds,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,LorenzoDeMattei/lawn-weeds,pets,15.210671424865723,25.616500445911154
0,Matthijs/snacks-classifier,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,Matthijs/snacks-classifier,pets,19.152915239334106,0.84190212399705
1,Matthijs/snacks-classifier,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,Matthijs/snacks-classifier,pets,19.397424936294556,27.296550119183074
0,Neto71/sea_mammals,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,Neto71/sea_mammals,pets,15.089090585708618,0.86301475684833
1,Neto71/sea_mammals,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,Neto71/sea_mammals,pets,15.200096130371094,26.931758267688906
0,Rajaram1996/FacialEmoRecog,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,Rajaram1996/FacialEmoRecog,pets,15.14046025276184,0.8379803365745776
1,Rajaram1996/FacialEmoRecog,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,Rajaram1996/FacialEmoRecog,pets,15.2629873752594,26.332019937605033
0,Nonem100/Test-Model,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,Nonem100/Test-Model,pets,15.697569847106934,0.6704058699295712
1,Nonem100/Test-Model,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,Nonem100/Test-Model,pets,15.930511474609375,22.87487927930958
0,Sena/dog,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,Sena/dog,pets,15.428849220275879,0.7254974104354968
1,Sena/dog,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,Sena/dog,pets,15.718014001846313,24.596480832286893
0,Suzana/new-york-tokyo-london,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,Suzana/new-york-tokyo-london,pets,15.14044713973999,0.8641262289100657
1,Suzana/new-york-tokyo-london,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,Suzana/new-york-tokyo-london,pets,15.330711364746094,26.92133506271965
0,SriramSridhar78/sriram-car-classifier,pets,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,SriramSridhar78/sriram-car-classifier,pets,15.739984512329102,0.8409436773499624
