,model_name,dataset_path,dataset_name,task_type,batch_size,metric,model,target_dataset,runtime,score
1,Ahmed9275/Vit-Cifar100,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,Ahmed9275/Vit-Cifar100,dtd,35.361199140548706,20.4723889618366
0,AkshatSurolia/BEiT-FaceMask-Finetuned,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,AkshatSurolia/BEiT-FaceMask-Finetuned,dtd,36.0898973941803,0.5468689804692423
1,AkshatSurolia/BEiT-FaceMask-Finetuned,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,AkshatSurolia/BEiT-FaceMask-Finetuned,dtd,36.207080125808716,9.54552687413577
0,AhmedSayeem/VIT_Basic,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,AhmedSayeem/VIT_Basic,dtd,171.53092193603516,0.6969607888035856
1,AhmedSayeem/VIT_Basic,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,AhmedSayeem/VIT_Basic,dtd,171.71569848060608,21.365879333352556
0,AkshatSurolia/ViT-FaceMask-Finetuned,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,AkshatSurolia/ViT-FaceMask-Finetuned,dtd,33.40417838096619,0.6165284717744691
1,AkshatSurolia/ViT-FaceMask-Finetuned,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,AkshatSurolia/ViT-FaceMask-Finetuned,dtd,33.520163774490356,17.053009184402747
0,Amrrs/indian-foods,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,Amrrs/indian-foods,dtd,35.656506299972534,0.7467158430646675
1,Amrrs/indian-foods,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,Amrrs/indian-foods,dtd,35.7790846824646,23.815776032200255
0,Amrrs/south-indian-foods,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,Amrrs/south-indian-foods,dtd,33.726441860198975,0.747849490454389
1,Amrrs/south-indian-foods,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,Amrrs/south-indian-foods,dtd,33.8676061630249,23.769674342989042
0,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,dtd,41.51496934890747,0.7357031583992069
1,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,Annabelleabbott/swin-tiny-patch4-window7-224-finetuned-eurosat,dtd,41.64599823951721,23.875002649084124
0,AykeeSalazar/vc-bantai-vit-withoutAMBI,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,AykeeSalazar/vc-bantai-vit-withoutAMBI,dtd,33.51119136810303,0.728626157528733
1,AykeeSalazar/vc-bantai-vit-withoutAMBI,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,AykeeSalazar/vc-bantai-vit-withoutAMBI,dtd,33.65197992324829,22.979321283803042
0,Frodnar/bee-likes,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,Frodnar/bee-likes,dtd,33.74792408943176,0.767738103450032
1,Frodnar/bee-likes,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,Frodnar/bee-likes,dtd,33.89015316963196,24.690122929255246
0,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,dtd,41.372692823410034,0.7353898686700238
1,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,GRANTHE2761/swin-tiny-patch4-window7-224-finetuned-eurosat,dtd,41.487396240234375,23.85114652150017
0,Giuliano/places,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,Giuliano/places,dtd,33.3467001914978,0.7408068579025807
1,Giuliano/places,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,Giuliano/places,dtd,33.57140040397644,23.466685618191278
0,HHousen/household-rooms,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,HHousen/household-rooms,dtd,36.27226233482361,0.7611787721712463
1,HHousen/household-rooms,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,HHousen/household-rooms,dtd,36.40738916397095,24.33754931925349
0,Hijazzi/rare-puppers,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,Hijazzi/rare-puppers,dtd,34.114951848983765,0.773727699075361
1,Hijazzi/rare-puppers,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,Hijazzi/rare-puppers,dtd,34.25036668777466,24.915889978033636
0,IDEA-CCNL/Taiyi-vit-87M-D,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,IDEA-CCNL/Taiyi-vit-87M-D,dtd,33.647730588912964,0.792500188847569
1,IDEA-CCNL/Taiyi-vit-87M-D,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,IDEA-CCNL/Taiyi-vit-87M-D,dtd,33.77242350578308,25.375754036305647
0,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,dtd,41.63136148452759,0.7394268828877038
1,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,KL/swin-tiny-patch4-window7-224-finetuned-eurosat,dtd,41.771711587905884,24.056485827018832
0,LorenzoDeMattei/lawn-weeds,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,LorenzoDeMattei/lawn-weeds,dtd,34.7713189125061,0.7469726071005892
1,LorenzoDeMattei/lawn-weeds,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,LorenzoDeMattei/lawn-weeds,dtd,34.91370415687561,23.814426151443588
0,Neto71/sea_mammals,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,Neto71/sea_mammals,dtd,33.94186043739319,0.7754325184874097
1,Neto71/sea_mammals,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,Neto71/sea_mammals,dtd,34.16696858406067,25.006777586535463
0,Rajaram1996/FacialEmoRecog,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,Rajaram1996/FacialEmoRecog,dtd,35.82237792015076,0.7639040513230745
1,Rajaram1996/FacialEmoRecog,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,Rajaram1996/FacialEmoRecog,dtd,35.94671368598938,24.421081755669547
0,Sena/dog,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,Sena/dog,dtd,33.824687480926514,0.7555378584989376
1,Sena/dog,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,Sena/dog,dtd,33.95937943458557,24.24230495665518
0,Nonem100/Test-Model,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,Nonem100/Test-Model,dtd,34.92891478538513,0.7174423529674683
1,Nonem100/Test-Model,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,Nonem100/Test-Model,dtd,35.05762815475464,22.416736888530814
0,Suzana/new-york-tokyo-london,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,Suzana/new-york-tokyo-london,dtd,33.64147925376892,0.7709045799007992
1,Suzana/new-york-tokyo-london,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,Suzana/new-york-tokyo-london,dtd,33.904486894607544,24.783302142770026
0,Sena/flowers,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,Sena/flowers,dtd,35.171690225601196,0.7548281365670247
1,Sena/flowers,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,Sena/flowers,dtd,35.298455238342285,24.13975438112881
0,SriramSridhar78/sriram-car-classifier,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,SriramSridhar78/sriram-car-classifier,dtd,35.54357695579529,0.7500636352741064
1,SriramSridhar78/sriram-car-classifier,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,SriramSridhar78/sriram-car-classifier,dtd,35.68620300292969,23.64578312886375
0,Matthijs/snacks-classifier,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,Matthijs/snacks-classifier,dtd,240.6386432647705,0.7104182015429041
1,Matthijs/snacks-classifier,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,Matthijs/snacks-classifier,dtd,240.71772122383118,22.520719655581477
0,Symbermine/rare-puppers,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,Symbermine/rare-puppers,dtd,35.07037425041199,0.7581275681129298
1,Symbermine/rare-puppers,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,Symbermine/rare-puppers,dtd,35.200960874557495,24.26590444124887
0,WinKawaks/vit-small-patch16-224,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,WinKawaks/vit-small-patch16-224,dtd,35.3463568687439,0.7812333303894005
1,WinKawaks/vit-small-patch16-224,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,WinKawaks/vit-small-patch16-224,dtd,35.379361391067505,22.508696472181086
0,WinKawaks/vit-tiny-patch16-224,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,WinKawaks/vit-tiny-patch16-224,dtd,33.25944662094116,0.689375519404472
1,WinKawaks/vit-tiny-patch16-224,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,WinKawaks/vit-tiny-patch16-224,dtd,33.266401529312134,16.154717251501786
0,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,dtd,34.847341537475586,0.7784987635299819
1,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,aaraki/vit-base-patch16-224-in21k-finetuned-cifar10,dtd,35.06433415412903,25.07311717832671
0,Zayn/VIT_Basic,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,Zayn/VIT_Basic,dtd,35.135244369506836,0.6575225265991078
1,Zayn/VIT_Basic,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,Zayn/VIT_Basic,dtd,35.261032581329346,19.56749065331539
0,akahana/vit-base-cats-vs-dogs,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,akahana/vit-base-cats-vs-dogs,dtd,33.521151542663574,0.7160570167301153
1,akahana/vit-base-cats-vs-dogs,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,akahana/vit-base-cats-vs-dogs,dtd,33.659181356430054,22.34589897229209
0,ajanco/greens,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,ajanco/greens,dtd,35.20122933387756,0.7480517554232538
1,ajanco/greens,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,ajanco/greens,dtd,35.33006167411804,23.894124626564192
0,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,dtd,40.58799433708191,0.7328969779501282
1,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,aricibo/swin-tiny-patch4-window7-224-finetuned-eurosat,dtd,40.813791275024414,23.739402666506543
0,b25mayank3/shirt_identifier,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,b25mayank3/shirt_identifier,dtd,34.47956991195679,0.7689517353459984
1,b25mayank3/shirt_identifier,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,b25mayank3/shirt_identifier,dtd,34.61139440536499,24.781510543886185
0,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,dtd,35.14964461326599,0.7811279625600261
1,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,domluna/vit-base-patch16-224-in21k-shiba-inu-detector,dtd,35.28247594833374,25.2173117930224
0,drab/Infrastructures,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,drab/Infrastructures,dtd,33.38038778305054,0.7560283217337176
1,drab/Infrastructures,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,drab/Infrastructures,dtd,33.51874828338623,24.196659507545967
0,black/simple_kitchen,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,black/simple_kitchen,dtd,34.399149894714355,0.7664567050159363
1,black/simple_kitchen,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,black/simple_kitchen,dtd,34.529672145843506,24.612641762571798
0,driboune/skin_type,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,driboune/skin_type,dtd,34.59070587158203,0.7766324964605582
1,driboune/skin_type,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,driboune/skin_type,dtd,34.726393938064575,25.075192885240927
0,eslamxm/vit-base-food101,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,eslamxm/vit-base-food101,dtd,33.7083158493042,0.712346798716944
1,eslamxm/vit-base-food101,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,eslamxm/vit-base-food101,dtd,33.84123206138611,22.02571070529883
0,eren23/pneumonia_test_attempt,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,eren23/pneumonia_test_attempt,dtd,36.200087785720825,0.7691861492172609
1,eren23/pneumonia_test_attempt,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,eren23/pneumonia_test_attempt,dtd,36.33530616760254,24.72146407668604
0,edixo/road_good_damaged_condition,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,edixo/road_good_damaged_condition,dtd,35.42404627799988,0.7407159176533514
1,edixo/road_good_damaged_condition,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,edixo/road_good_damaged_condition,dtd,35.55055022239685,23.531729946840265
0,facebook/deit-base-patch16-224,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,facebook/deit-base-patch16-224,dtd,35.366204261779785,0.7350543652290198
1,facebook/deit-base-patch16-224,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,facebook/deit-base-patch16-224,dtd,35.50556135177612,23.395588805583877
0,facebook/deit-small-patch16-224,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,facebook/deit-small-patch16-224,dtd,34.1558792591095,0.7026358355170246
1,facebook/deit-small-patch16-224,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,facebook/deit-small-patch16-224,dtd,34.18791174888611,18.575840287830864
0,facebook/deit-base-patch16-384,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,facebook/deit-base-patch16-384,dtd,53.14836812019348,0.7411398504853133
1,facebook/deit-base-patch16-384,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,facebook/deit-base-patch16-384,dtd,53.363391637802124,23.61216556210436
0,facebook/deit-tiny-patch16-224,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,facebook/deit-tiny-patch16-224,dtd,35.21567893028259,0.6585381846925342
1,facebook/deit-tiny-patch16-224,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,facebook/deit-tiny-patch16-224,dtd,35.223387002944946,14.154639514660216
0,firas-spanioli/beer-whisky-wine-detection,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,firas-spanioli/beer-whisky-wine-detection,dtd,33.67709970474243,0.7680887200405029
1,firas-spanioli/beer-whisky-wine-detection,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,firas-spanioli/beer-whisky-wine-detection,dtd,33.81669473648071,24.674530076918604
0,ferdinand/rare-puppers,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,ferdinand/rare-puppers,dtd,36.69766569137573,0.7642770516760847
1,ferdinand/rare-puppers,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,ferdinand/rare-puppers,dtd,36.822962045669556,24.477061506007786
0,firebolt/llama_or_what,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,firebolt/llama_or_what,dtd,35.32172656059265,0.7760115718837552
1,firebolt/llama_or_what,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,firebolt/llama_or_what,dtd,35.45057535171509,25.043942593825605
0,flyswot/test,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,flyswot/test,dtd,36.339340925216675,0.6572142551873428
1,flyswot/test,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,flyswot/test,dtd,36.34645223617554,14.05178724076021
0,gatecitypreservation/architectural_styles,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,gatecitypreservation/architectural_styles,dtd,32.92606520652771,0.7453710410735308
1,gatecitypreservation/architectural_styles,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,gatecitypreservation/architectural_styles,dtd,33.15221548080444,23.702019835387095
0,google/vit-base-patch16-224,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,google/vit-base-patch16-224,dtd,33.62946057319641,0.7916047274091865
1,google/vit-base-patch16-224,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,google/vit-base-patch16-224,dtd,33.76856780052185,25.32711948323506
0,godiec/diam,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,godiec/diam,dtd,35.484275817871094,0.7139279682035371
1,godiec/diam,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,godiec/diam,dtd,35.618212938308716,22.199557152666827
0,google/vit-base-patch32-384,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,google/vit-base-patch32-384,dtd,44.2903265953064,0.8010473372104067
1,google/vit-base-patch32-384,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,google/vit-base-patch32-384,dtd,44.520240783691406,25.701220519778953
0,google/vit-base-patch16-384,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,google/vit-base-patch16-384,dtd,53.391337394714355,0.8022145602475081
1,google/vit-base-patch16-384,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,google/vit-base-patch16-384,dtd,53.61556911468506,25.784316045528154
0,google/vit-large-patch32-384,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,google/vit-large-patch32-384,dtd,47.045856952667236,0.8107007253233321
1,google/vit-large-patch32-384,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,google/vit-large-patch32-384,dtd,47.71271562576294,27.756898439749442
0,google/vit-large-patch16-224,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,google/vit-large-patch16-224,dtd,52.27172780036926,0.809158960736677
1,google/vit-large-patch16-224,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,google/vit-large-patch16-224,dtd,52.898704051971436,27.649771453362348
0,hgarg/indian-snacks,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,hgarg/indian-snacks,dtd,34.28966689109802,0.7588612969866059
1,hgarg/indian-snacks,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,hgarg/indian-snacks,dtd,34.42932844161987,24.367550354982164
0,filipafcastro/beer_vs_wine,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,filipafcastro/beer_vs_wine,dtd,132.51117396354675,0.7505293961010955
1,filipafcastro/beer_vs_wine,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,filipafcastro/beer_vs_wine,dtd,132.69935536384583,23.89383895128507
0,firebolt/llama_or_what2,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,firebolt/llama_or_what2,dtd,127.00625991821289,0.7503372799226812
1,firebolt/llama_or_what2,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,firebolt/llama_or_what2,dtd,127.21638941764832,23.907994960802405
0,hafidber/rare-puppers,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,hafidber/rare-puppers,dtd,36.23508071899414,0.7674224645647129
1,hafidber/rare-puppers,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,hafidber/rare-puppers,dtd,36.37003803253174,24.63645265015439
0,hgarg/fruits,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,hgarg/fruits,dtd,35.28484511375427,0.7339115012860906
1,hgarg/fruits,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,hgarg/fruits,dtd,35.42502188682556,23.26384228671334
0,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,dtd,84.09965801239014,0.7310931179907948
1,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,guhuawuli/swin-tiny-patch4-window7-224-finetuned-eurosat,dtd,84.27991127967834,23.624979017039458
0,hafidber/fruits,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,hafidber/fruits,dtd,45.18144202232361,0.7421487696257224
1,hafidber/fruits,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,hafidber/fruits,dtd,45.491092920303345,23.545373559596477
0,ibombonato/swin-age-classifier,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,ibombonato/swin-age-classifier,dtd,45.21971011161804,0.7071886358058229
1,ibombonato/swin-age-classifier,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,ibombonato/swin-age-classifier,dtd,45.478501319885254,22.23212662267468
0,imjeffhi/pokemon_classifier,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,imjeffhi/pokemon_classifier,dtd,33.54166889190674,0.7182649284375675
1,imjeffhi/pokemon_classifier,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,imjeffhi/pokemon_classifier,dtd,33.76870822906494,22.030324909033318
0,ipvikas/rare-puppers,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,ipvikas/rare-puppers,dtd,34.9517707824707,0.7740789919635691
1,ipvikas/rare-puppers,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,ipvikas/rare-puppers,dtd,35.17984437942505,24.928694771396362
0,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,dtd,40.312084436416626,0.73407872593386
1,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,jemole/swin-tiny-patch4-window7-224-finetuned-eurosat,dtd,40.451682567596436,23.837658106185984
0,jeffboudier/vision-transformers-spain-or-italy-fan,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,jeffboudier/vision-transformers-spain-or-italy-fan,dtd,34.529555559158325,0.7769856445185465
1,jeffboudier/vision-transformers-spain-or-italy-fan,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,jeffboudier/vision-transformers-spain-or-italy-fan,dtd,34.66648197174072,25.037728277685154
0,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,dtd,35.13522124290466,0.7362776345611605
1,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.REG_H_SCORE,jaygala24/finetuned-vit-base-patch16-224-upside-down-detector,dtd,35.23601007461548,23.007356948133303
0,ibombonato/vit-age-classifier,dtd,,TaskType.IMAGE_CLASSIFICATION,16,TransferabilityMethod.LOG_ME,ibombonato/vit-age-classifier,dtd,43.29627299308777,0.7843149855101285
