,mappedID,model,score
114,187,mbyanfei/swin-tiny-patch4-window7-224-finetuned-eurosat,-0.23849922
115,188,meame2010/rare-puppers,-0.22794224
116,189,mehnaazasad/swin-tiny-patch4-window7-224-finetuned-eurosat,-0.23899566
117,190,michaelbenayoun/vit-base-beans,-0.10597457
118,191,micole66/dwarf-goats,-0.1663759
119,192,microsoft/beit-base-patch16-224,-0.09522245
120,193,microsoft/beit-base-patch16-224-pt22k,-0.067343816
121,194,microsoft/beit-base-patch16-224-pt22k-ft22k,-0.13459894
122,195,microsoft/beit-base-patch16-384,0.3817704
123,196,microsoft/beit-large-patch16-224,-0.14193815
124,197,microsoft/beit-large-patch16-224-pt22k-ft22k,-0.16820136
125,198,microsoft/beit-large-patch16-384,-0.037506714
126,199,microsoft/resnet-50,-0.061429575
127,200,microsoft/swin-base-patch4-window12-384,0.36266035
128,201,microsoft/swin-base-patch4-window12-384-in22k,0.15312085
129,202,microsoft/swin-base-patch4-window7-224,-0.071895905
130,203,microsoft/swin-base-patch4-window7-224-in22k,0.11286681
131,204,microsoft/swin-large-patch4-window12-384,0.40103608
132,205,microsoft/swin-large-patch4-window12-384-in22k,0.3521963
133,206,microsoft/swin-large-patch4-window7-224,0.056031458
134,207,microsoft/swin-large-patch4-window7-224-in22k,0.12147538
135,208,microsoft/swin-small-patch4-window7-224,0.039914005
136,209,microsoft/swin-tiny-patch4-window7-224,0.3443323
137,210,mmekias/vit-base-beans,-0.13361296
138,211,mmgyorke/vit-world-landmarks,-0.20823485
139,212,mrm8488/convnext-tiny-finetuned-beans,-0.14660937
140,213,mrm8488/convnext-tiny-finetuned-eurosat,-0.24875638
141,214,mrm8488/data2vec-base-finetuned-imagenet1k,-0.17375168
142,215,mrm8488/vit-base-patch16-224_finetuned-pneumothorax,-0.16735935
143,216,nateraw/baked-goods,-0.190756
144,217,nateraw/baseball-stadium-foods,-0.15030645
145,218,nateraw/denver-nyc-paris,-0.16504475
146,219,nateraw/doggos-lol,-0.15320802
147,220,nateraw/donut-or-bagel,-0.23688374
148,221,nateraw/ex-for-evan,-0.21204954
149,222,nateraw/food,-0.1727242
150,223,nateraw/huggingpics-package-demo-2,-0.21659487
151,224,nateraw/pasta-pizza-ravioli,-0.14353591
152,225,nateraw/pasta-shapes,-0.15844837
153,226,nateraw/planes-trains-automobiles,-0.23047186
154,227,nateraw/rare-puppers,-0.163928
155,228,nateraw/rare-puppers-09-04-2021,-0.24200569
156,229,nateraw/rare-puppers-123,-0.23665404
157,230,nateraw/rare-puppers-demo,-0.23758408
158,231,nateraw/rare-puppers-new-auth,-0.24075465
159,232,nateraw/test_model_a,-0.13344103
160,233,nateraw/trainer-rare-puppers,-0.15236823
161,234,nateraw/vit-age-classifier,-0.20354469
162,235,nateraw/vit-base-beans,-0.20838058
163,236,nateraw/vit-base-beans-demo,-0.15554872
164,237,nateraw/vit-base-beans-demo-v2,-0.1788424
165,238,nateraw/vit-base-beans-demo-v3,0.16154067
166,239,nateraw/vit-base-cats-vs-dogs,-0.09325668
167,240,nateraw/vit-base-food101,-0.24081178
168,241,nateraw/vit-base-patch16-224-cifar10,-0.14232986
169,242,nickmuchi/swin-tiny-patch4-window7-224-finetuned-eurosat,-0.25021988
170,243,nickmuchi/vit-base-beans,-0.16360068
171,244,nickmuchi/vit-base-xray-pneumonia,-0.1460346
172,245,nickmuchi/vit-finetuned-cats-dogs,-0.109262496
173,246,nickmuchi/vit-finetuned-chest-xray-pneumonia,-0.20074585
174,247,nielsr/convnext-tiny-224-finetuned-eurosat-albumentations,-0.22491111
175,248,nielsr/convnext-tiny-finetuned-eurosat,-0.23096606
176,249,nielsr/convnext-tiny-finetuned-eurostat,-0.20230313
177,250,nielsr/convnext-xlarge-224-22k,0.4065162
178,251,nielsr/convnext-xlarge-224-22k-1k,-0.03720344
179,252,nielsr/swin-tiny-patch4-window7-224-finetuned-cifar10,-0.22682008
180,253,nielsr/swin-tiny-patch4-window7-224-finetuned-eurosat,-0.23918067
181,254,nielsr/van-base-finetuned-eurosat-imgaug,-0.182203
182,255,nielsr/vit-base-patch16-224-in21k-finetuned-cifar10,-0.10324732
183,256,nielsr/vit-finetuned-eurosat-kornia,-0.22120558
184,257,tanlq/vit-base-patch16-224-in21k-finetuned-cifar10,-0.03783627
