,stanfordcars,svhn,caltech101,pets,cifar100,flowers,smallnorb_label_elevation,dtd,average
xgb_node2vec_all_normalize_without_transfer,0.6975292347918349,0.8116919328115929,0.9461028466626457,0.8945946722585776,0.8020119050795022,0.8742252524718501,0.9070188492685823,0.8507396956507378,0.807876136728671
xgb_homoGATConv_all_normalize_without_transfer,0.6908713184390002,0.8030071103226968,0.8972009845853459,0.8602661424564503,0.8470013820642768,0.8468193201740205,0.8859822365211998,0.8460645679589301,0.7946562858104226
xgb_node2vec+_all_normalize_without_transfer,0.6224771425947396,0.7448133089722241,0.9256119041626973,0.9046865220470908,0.8825387488275291,0.8446618847816197,0.8877402321029142,0.8720734934651082,0.7791042242728728
xgb_homo_SAGEConv_all_normalize_without_transfer,0.6995809556155325,0.8124904585398834,0.7607872631740478,0.8061062455246046,0.4705643011388811,0.8850514069661715,0.9189981531613151,0.9216444383451583,0.7786907197286019
lr_node2vec_all_normalize_without_transfer,0.666230876094293,0.7140321579781613,0.8949980833613879,0.817327496862688,0.8341528476458221,0.7011773705187937,0.8579708777103808,0.8122844262235968,0.7486632568607083
rf_homoGATConv_all_normalize_without_transfer,0.63716434419657,0.7513018871245358,0.9488628102154381,0.8211529886133874,0.9190549287701536,0.6878216889293708,0.9029201261516557,0.7765687348941265,0.7441677024205633
lr_node2vec+_all_normalize_without_transfer,0.6259422718466776,0.669160286426991,0.8853694787759931,0.8291644241388768,0.8218551445053044,0.724133260889846,0.822764053568715,0.8100418962380698,0.732568425158342
lr_homoGATConv_all_normalize_without_transfer,0.6391083885248069,0.7223507154844206,0.9201498252976303,0.8682653276721087,0.8106620051994853,0.6431133040094716,0.8875591871552085,0.7742657181817458,0.7313148957766623
rf_homo_SAGEConv_all_normalize_without_transfer,0.674882352705584,0.7799029754167497,0.8834395836600745,0.8422940673499602,0.8778759399187611,0.6263313421700343,0.8272434681786472,0.6826649543529864,0.7260533053812631
lr_homo_SAGEConv_all_normalize_without_transfer,0.7326585637603491,0.36286106825280917,0.731338794235312,0.7618901022961255,0.7743241525624354,0.6736732555412436,0.8687938110147672,0.6658398755907777,0.7045861757366818
rf_node2vec_all_normalize_without_transfer,0.5306252413142682,0.8133371112385481,0.8960064937583876,0.7607877129678986,0.8965741914495265,0.7530227875763253,0.9179599506640072,0.7131048510255159,0.6968482239870047
rf_node2vec+_all_normalize_without_transfer,0.5322707548004325,0.8141477944884631,0.8965099831185046,0.8140425952054853,0.8643433251005253,0.7184676638542098,0.9065344836486176,0.7013783859431612,0.6930875338506653
Reg-H-Score,0.4331213126918012,0.47291667366743956,0.7343851563549555,0.6301744492193755,0.570425386627126,0.7207187259177857,0.4805934808669892,0.5782981736168049,0.5540999023823503
LogME,0.20316314135796876,0.4099024352541407,0.479724337258864,0.3432591135933224,0.49134473047119487,0.6201273832168734,0.391735944424049,0.4799064194600973,0.38003226225742776
